ID	Label	Type	hasFloatValue	hasUnit
ID	LABEL	TYPE	AT gc:hasFloatValue^^xsd:float	I gc:hasUnit
ex:intval_caa001b_12	IR intensity mode 12 caa001b	gc:FloatValue	0.019	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001b_13	IR intensity mode 13 caa001b	gc:FloatValue	0.27196	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001b_14	IR intensity mode 14 caa001b	gc:FloatValue	0.24606	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001b_15	IR intensity mode 15 caa001b	gc:FloatValue	1.05992	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001b_16	IR intensity mode 16 caa001b	gc:FloatValue	2.53294	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001b_17	IR intensity mode 17 caa001b	gc:FloatValue	0.30271	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001b_18	IR intensity mode 18 caa001b	gc:FloatValue	8.69136	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001b_19	IR intensity mode 19 caa001b	gc:FloatValue	3.68536	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001b_20	IR intensity mode 20 caa001b	gc:FloatValue	0.40215	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001b_21	IR intensity mode 21 caa001b	gc:FloatValue	0.28976	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001b_22	IR intensity mode 22 caa001b	gc:FloatValue	0.57059	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001b_23	IR intensity mode 23 caa001b	gc:FloatValue	0.08462	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001b_24	IR intensity mode 24 caa001b	gc:FloatValue	0.03056	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001b_25	IR intensity mode 25 caa001b	gc:FloatValue	0.11806	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001b_26	IR intensity mode 26 caa001b	gc:FloatValue	0.17663	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001b_27	IR intensity mode 27 caa001b	gc:FloatValue	2.38758	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001b_28	IR intensity mode 28 caa001b	gc:FloatValue	2.39792	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001b_29	IR intensity mode 29 caa001b	gc:FloatValue	0.13861	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001b_30	IR intensity mode 30 caa001b	gc:FloatValue	1.56757	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001b_31	IR intensity mode 31 caa001b	gc:FloatValue	1.61343	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001b_32	IR intensity mode 32 caa001b	gc:FloatValue	0.18445	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001b_33	IR intensity mode 33 caa001b	gc:FloatValue	0.06583	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001b_34	IR intensity mode 34 caa001b	gc:FloatValue	0.02695	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001b_35	IR intensity mode 35 caa001b	gc:FloatValue	0.00429	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001b_36	IR intensity mode 36 caa001b	gc:FloatValue	0.39	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001b_37	IR intensity mode 37 caa001b	gc:FloatValue	0.14544	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001b_38	IR intensity mode 38 caa001b	gc:FloatValue	0.11114	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_caa001b_39	IR intensity mode 39 caa001b	gc:FloatValue	0.09887	gc:debyeSquaredPerAmuAngstromSquared
ex:freqval_caa002_1	Frequency mode 1 caa002	gc:FloatValue	28.25	gc:cm-1
ex:freqval_caa002_2	Frequency mode 2 caa002	gc:FloatValue	0.81	gc:cm-1
ex:freqval_caa002_3	Frequency mode 3 caa002	gc:FloatValue	0.42	gc:cm-1
ex:freqval_caa002_4	Frequency mode 4 caa002	gc:FloatValue	0.1	gc:cm-1
ex:freqval_caa002_5	Frequency mode 5 caa002	gc:FloatValue	21.23	gc:cm-1
ex:freqval_caa002_6	Frequency mode 6 caa002	gc:FloatValue	32.75	gc:cm-1
ex:freqval_caa002_7	Frequency mode 7 caa002	gc:FloatValue	56.47	gc:cm-1
ex:freqval_caa002_8	Frequency mode 8 caa002	gc:FloatValue	57.7	gc:cm-1
ex:freqval_caa002_9	Frequency mode 9 caa002	gc:FloatValue	75.3	gc:cm-1
ex:freqval_caa002_10	Frequency mode 10 caa002	gc:FloatValue	122.23	gc:cm-1
ex:freqval_caa002_11	Frequency mode 11 caa002	gc:FloatValue	136.52	gc:cm-1
ex:freqval_caa002_12	Frequency mode 12 caa002	gc:FloatValue	157.37	gc:cm-1
ex:freqval_caa002_13	Frequency mode 13 caa002	gc:FloatValue	202.13	gc:cm-1
ex:freqval_caa002_14	Frequency mode 14 caa002	gc:FloatValue	296.73	gc:cm-1
ex:freqval_caa002_15	Frequency mode 15 caa002	gc:FloatValue	374.71	gc:cm-1
ex:freqval_caa002_16	Frequency mode 16 caa002	gc:FloatValue	437.88	gc:cm-1
ex:freqval_caa002_17	Frequency mode 17 caa002	gc:FloatValue	459.42	gc:cm-1
ex:freqval_caa002_18	Frequency mode 18 caa002	gc:FloatValue	469.55	gc:cm-1
