ID	Label	Type	hasIndex	hasPathEnergy
ID	LABEL	TYPE	I gc:hasIndex	I gc:hasPathEnergy
ex:pathpoint_caa005bTSaIRCf_105	Path point 105 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	105	ex:pathenergy_caa005bTSaIRCf_105
ex:pathpoint_caa005bTSaIRCf_106	Path point 106 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	106	ex:pathenergy_caa005bTSaIRCf_106
ex:pathpoint_caa005bTSaIRCf_107	Path point 107 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	107	ex:pathenergy_caa005bTSaIRCf_107
ex:pathpoint_caa005bTSaIRCf_108	Path point 108 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	108	ex:pathenergy_caa005bTSaIRCf_108
ex:pathpoint_caa005bTSaIRCf_109	Path point 109 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	109	ex:pathenergy_caa005bTSaIRCf_109
ex:pathpoint_caa005bTSaIRCf_110	Path point 110 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	110	ex:pathenergy_caa005bTSaIRCf_110
ex:pathpoint_caa005bTSaIRCf_111	Path point 111 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	111	ex:pathenergy_caa005bTSaIRCf_111
ex:pathpoint_caa005bTSaIRCf_112	Path point 112 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	112	ex:pathenergy_caa005bTSaIRCf_112
ex:pathpoint_caa005bTSaIRCf_113	Path point 113 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	113	ex:pathenergy_caa005bTSaIRCf_113
ex:pathpoint_caa005bTSaIRCf_114	Path point 114 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	114	ex:pathenergy_caa005bTSaIRCf_114
ex:pathpoint_caa005bTSaIRCf_115	Path point 115 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	115	ex:pathenergy_caa005bTSaIRCf_115
ex:pathpoint_caa005bTSaIRCf_116	Path point 116 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	116	ex:pathenergy_caa005bTSaIRCf_116
ex:pathpoint_caa005bTSaIRCf_117	Path point 117 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	117	ex:pathenergy_caa005bTSaIRCf_117
ex:pathpoint_caa005bTSaIRCf_118	Path point 118 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	118	ex:pathenergy_caa005bTSaIRCf_118
ex:pathpoint_caa005bTSaIRCf_119	Path point 119 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	119	ex:pathenergy_caa005bTSaIRCf_119
ex:pathpoint_caa005bTSaIRCf_120	Path point 120 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	120	ex:pathenergy_caa005bTSaIRCf_120
ex:pathpoint_caa005bTSaIRCf_121	Path point 121 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	121	ex:pathenergy_caa005bTSaIRCf_121
ex:pathpoint_caa005bTSaIRCf_122	Path point 122 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	122	ex:pathenergy_caa005bTSaIRCf_122
ex:pathpoint_caa005bTSaIRCf_123	Path point 123 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	123	ex:pathenergy_caa005bTSaIRCf_123
ex:pathpoint_caa005bTSaIRCf_124	Path point 124 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	124	ex:pathenergy_caa005bTSaIRCf_124
ex:pathpoint_caa005bTSaIRCf_125	Path point 125 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	125	ex:pathenergy_caa005bTSaIRCf_125
ex:pathpoint_caa005bTSaIRCf_126	Path point 126 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	126	ex:pathenergy_caa005bTSaIRCf_126
