ID	Label	Type	hasFloatValue	hasUnit
ID	LABEL	TYPE	AT gc:hasFloatValue^^xsd:float	I gc:hasUnit
ex:freqval_aa002-hydrate-bare-smd_3	Frequency mode 3 aa002-hydrate-bare-smd	gc:FloatValue	0	gc:cm-1
ex:freqval_aa002-hydrate-bare-smd_4	Frequency mode 4 aa002-hydrate-bare-smd	gc:FloatValue	0	gc:cm-1
ex:freqval_aa002-hydrate-bare-smd_5	Frequency mode 5 aa002-hydrate-bare-smd	gc:FloatValue	0	gc:cm-1
ex:freqval_aa002-hydrate-bare-smd_6	Frequency mode 6 aa002-hydrate-bare-smd	gc:FloatValue	0	gc:cm-1
ex:intval_aa002-hydrate-bare-smd_1	IR intensity mode 1 aa002-hydrate-bare-smd	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa002-hydrate-bare-smd_2	IR intensity mode 2 aa002-hydrate-bare-smd	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa002-hydrate-bare-smd_3	IR intensity mode 3 aa002-hydrate-bare-smd	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa002-hydrate-bare-smd_4	IR intensity mode 4 aa002-hydrate-bare-smd	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa002-hydrate-bare-smd_5	IR intensity mode 5 aa002-hydrate-bare-smd	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa002-hydrate-bare-smd_6	IR intensity mode 6 aa002-hydrate-bare-smd	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:freqval_aa002-hydrate-bare_1	Frequency mode 1 aa002-hydrate-bare	gc:FloatValue	0	gc:cm-1
ex:freqval_aa002-hydrate-bare_2	Frequency mode 2 aa002-hydrate-bare	gc:FloatValue	0	gc:cm-1
ex:freqval_aa002-hydrate-bare_3	Frequency mode 3 aa002-hydrate-bare	gc:FloatValue	0	gc:cm-1
ex:freqval_aa002-hydrate-bare_4	Frequency mode 4 aa002-hydrate-bare	gc:FloatValue	0	gc:cm-1
ex:freqval_aa002-hydrate-bare_5	Frequency mode 5 aa002-hydrate-bare	gc:FloatValue	0	gc:cm-1
ex:freqval_aa002-hydrate-bare_6	Frequency mode 6 aa002-hydrate-bare	gc:FloatValue	0	gc:cm-1
ex:intval_aa002-hydrate-bare_1	IR intensity mode 1 aa002-hydrate-bare	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa002-hydrate-bare_2	IR intensity mode 2 aa002-hydrate-bare	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa002-hydrate-bare_3	IR intensity mode 3 aa002-hydrate-bare	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa002-hydrate-bare_4	IR intensity mode 4 aa002-hydrate-bare	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa002-hydrate-bare_5	IR intensity mode 5 aa002-hydrate-bare	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa002-hydrate-bare_6	IR intensity mode 6 aa002-hydrate-bare	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:freqval_aa002-water-bare-smd_1	Frequency mode 1 aa002-water-bare-smd	gc:FloatValue	0	gc:cm-1
ex:freqval_aa002-water-bare-smd_2	Frequency mode 2 aa002-water-bare-smd	gc:FloatValue	0	gc:cm-1
ex:freqval_aa002-water-bare-smd_3	Frequency mode 3 aa002-water-bare-smd	gc:FloatValue	0	gc:cm-1
ex:freqval_aa002-water-bare-smd_4	Frequency mode 4 aa002-water-bare-smd	gc:FloatValue	0	gc:cm-1
ex:freqval_aa002-water-bare-smd_5	Frequency mode 5 aa002-water-bare-smd	gc:FloatValue	0	gc:cm-1
ex:freqval_aa002-water-bare-smd_6	Frequency mode 6 aa002-water-bare-smd	gc:FloatValue	0	gc:cm-1
ex:intval_aa002-water-bare-smd_1	IR intensity mode 1 aa002-water-bare-smd	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa002-water-bare-smd_2	IR intensity mode 2 aa002-water-bare-smd	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa002-water-bare-smd_3	IR intensity mode 3 aa002-water-bare-smd	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa002-water-bare-smd_4	IR intensity mode 4 aa002-water-bare-smd	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa002-water-bare-smd_5	IR intensity mode 5 aa002-water-bare-smd	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa002-water-bare-smd_6	IR intensity mode 6 aa002-water-bare-smd	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:freqval_aa002-water-bare_1	Frequency mode 1 aa002-water-bare	gc:FloatValue	0	gc:cm-1
ex:freqval_aa002-water-bare_2	Frequency mode 2 aa002-water-bare	gc:FloatValue	0	gc:cm-1
ex:freqval_aa002-water-bare_3	Frequency mode 3 aa002-water-bare	gc:FloatValue	0	gc:cm-1
ex:freqval_aa002-water-bare_4	Frequency mode 4 aa002-water-bare	gc:FloatValue	0	gc:cm-1
ex:freqval_aa002-water-bare_5	Frequency mode 5 aa002-water-bare	gc:FloatValue	0	gc:cm-1
ex:freqval_aa002-water-bare_6	Frequency mode 6 aa002-water-bare	gc:FloatValue	0	gc:cm-1
ex:intval_aa002-water-bare_1	IR intensity mode 1 aa002-water-bare	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa002-water-bare_2	IR intensity mode 2 aa002-water-bare	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa002-water-bare_3	IR intensity mode 3 aa002-water-bare	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa002-water-bare_4	IR intensity mode 4 aa002-water-bare	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa002-water-bare_5	IR intensity mode 5 aa002-water-bare	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa002-water-bare_6	IR intensity mode 6 aa002-water-bare	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
