ID	Label	Type	used	generated	wasGeneratedBy	fileURL	sha256	hasMethod	hasBasisSet	hasSolvent	hasSolvationModel	hasRuntyp	hasHssend
ex:file_aa002-aldehyde-bare-smd_dat	Output data aa002-aldehyde-bare-smd	ex:DataFile			ex:exp_aa002-aldehyde-bare-smd								
ex:file_aa002-aldehyde-bare-smd_log	Output log aa002-aldehyde-bare-smd	ex:LogFile			ex:exp_aa002-aldehyde-bare-smd	file:////home/darren/Projects/active/ont_mm/examples/aa/outputs/aa002-aldehyde-bare-smd.log	4abb2eea0e7b6ae64a08c276aa723cc8b24d4ac16bbd5ee91555125c8fa953e7						
													
ex:exp_aa002-aldehyde-bare	Vibrational analysis aa002-aldehyde-bare	gc:VibrationalAnalysis	ex:file_aa002-aldehyde-bare_inp	ex:file_aa002-aldehyde-bare_dat|ex:file_aa002-aldehyde-bare_log				wB97X-D	6-21G+(d,p)	water	PCM	OPTIMIZE	true
ex:file_aa002-aldehyde-bare_inp	Input file aa002-aldehyde-bare	ex:InputFile			ex:avogadro_build	file:////home/darren/Projects/active/ont_mm/examples/aa/inputs/aa002-aldehyde-bare.inp	437c1ffa7e19197db831608a14299562c2e6f1e1184b305d0d60353182056f73						
ex:file_aa002-aldehyde-bare_dat	Output data aa002-aldehyde-bare	ex:DataFile			ex:exp_aa002-aldehyde-bare								
ex:file_aa002-aldehyde-bare_log	Output log aa002-aldehyde-bare	ex:LogFile			ex:exp_aa002-aldehyde-bare	file:////home/darren/Projects/active/ont_mm/examples/aa/outputs/aa002-aldehyde-bare.log	25cc390daa03caac453cd5132a739b9f5ab204f68eca2d449c4afa87c6e3d2b8						
													
ex:exp_aa002-aldehyde-pcseg2	Single point aa002-aldehyde-pcseg2	gc:SinglePoint	ex:file_aa002-aldehyde-pcseg2_inp	ex:file_aa002-aldehyde-pcseg2_dat|ex:file_aa002-aldehyde-pcseg2_log				wB97X-D	PCSEG-2	water	PCM	ENERGY	
ex:file_aa002-aldehyde-pcseg2_inp	Input file aa002-aldehyde-pcseg2	ex:InputFile			ex:avogadro_build	file:////home/darren/Projects/active/ont_mm/examples/aa/inputs/aa002-aldehyde-pcseg2.inp	7f62b7fcc088332a36be90e9d45cc64b64a634122072d1ad502a543c4dc9f93e						
ex:file_aa002-aldehyde-pcseg2_dat	Output data aa002-aldehyde-pcseg2	ex:DataFile			ex:exp_aa002-aldehyde-pcseg2								
ex:file_aa002-aldehyde-pcseg2_log	Output log aa002-aldehyde-pcseg2	ex:LogFile			ex:exp_aa002-aldehyde-pcseg2	file:////home/darren/Projects/active/ont_mm/examples/aa/outputs/aa002-aldehyde-pcseg2.log	bab9066a8b31e4a2b304d78ba029617c0d849fc19b499823eff0098db98cef49						
													
ex:exp_aa002-hydrate-bare-smd	Vibrational analysis aa002-hydrate-bare-smd	gc:VibrationalAnalysis	ex:file_aa002-hydrate-bare-smd_inp	ex:file_aa002-hydrate-bare-smd_dat|ex:file_aa002-hydrate-bare-smd_log				wB97X-D	6-21G+(d,p)	water	SMD	OPTIMIZE	true
ex:file_aa002-hydrate-bare-smd_inp	Input file aa002-hydrate-bare-smd	ex:InputFile			ex:avogadro_build	file:////home/darren/Projects/active/ont_mm/examples/aa/inputs/aa002-hydrate-bare-smd.inp	a1de72c008cac7874af0173fcb15ab9f74713c650256b144fdc55aa5502603dd						
ex:file_aa002-hydrate-bare-smd_dat	Output data aa002-hydrate-bare-smd	ex:DataFile			ex:exp_aa002-hydrate-bare-smd								
ex:file_aa002-hydrate-bare-smd_log	Output log aa002-hydrate-bare-smd	ex:LogFile			ex:exp_aa002-hydrate-bare-smd	file:////home/darren/Projects/active/ont_mm/examples/aa/outputs/aa002-hydrate-bare-smd.log	6fbf0bfa2cdc11575fb023fde99c51028fb2640da7e40cafe951834b7be88d23						
													
ex:exp_aa002-hydrate-bare	Vibrational analysis aa002-hydrate-bare	gc:VibrationalAnalysis	ex:file_aa002-hydrate-bare_inp	ex:file_aa002-hydrate-bare_dat|ex:file_aa002-hydrate-bare_log				wB97X-D	6-21G+(d,p)	water	PCM	OPTIMIZE	true
ex:file_aa002-hydrate-bare_inp	Input file aa002-hydrate-bare	ex:InputFile			ex:avogadro_build	file:////home/darren/Projects/active/ont_mm/examples/aa/inputs/aa002-hydrate-bare.inp	bc312b0ef4a57437db9cbe620faaa0e3ad105780c6c7300cac4edafc835e8e03						
